"mbti","function_pair","type1","type2","type3","type4","majorcount","minorcount","danceability_mean","energy_mean","loudness_mean","mode_mean","speechiness_mean","acousticness_mean","liveness_mean","valence_mean","tempo_mean","instrumentalness_mean","pminor"
"INFP","NF","I","N","F","P",30,20,0.5976,0.511604,-9.5286,0.6,0.079014,0.40969,0.162004,0.514166,121.43074,0.0434705256,0.4
"INFP","NF","I","N","F","P",23,27,0.42776,0.338352,-12.25344,0.46,0.0376839999999999,0.6544338,0.144304,0.237748,112.78814,0.135749406,0.54
"INFP","NF","I","N","F","P",28,22,0.51574,0.392502,-11.90948,0.56,0.044184,0.5361287,0.14779,0.310924,113.43464,0.2925137218,0.44
"INFP","NF","I","N","F","P",23,27,0.6639,0.70954,-4.72418,0.46,0.0567,0.211012,0.14632,0.52716,119.03822,0.0026698692,0.54
"INFP","NF","I","N","F","P",13,10,0.595826086956522,0.502782608695652,-7.59917391304348,0.565217391304348,0.100073913043478,0.473195652173913,0.132904347826087,0.345017391304348,118.663434782609,0.0002106052173913,0.434782608695652
"INFP","NF","I","N","F","P",9,41,0.53496,0.68878,-7.4487,0.18,0.040386,0.14670398,0.17531,0.481258,128.74218,0.025356299,0.82
"INFP","NF","I","N","F","P",29,21,0.47586,0.359186,-11.6831,0.58,0.04064,0.5685958,0.13709,0.320274,120.2101,0.0961283758,0.42
"INFP","NF","I","N","F","P",43,7,0.41972,0.239334,-13.09822,0.86,0.0408139999999999,0.7601012,0.142576,0.21101,118.24616,0.1299994324,0.14
"INFP","NF","I","N","F","P",24,26,0.54728,0.65484,-6.80896,0.48,0.089286,0.2316969706,0.181934,0.47682,116.629,0.0636654426,0.52
"INFP","NF","I","N","F","P",37,13,0.55428,0.52608,-8.14252,0.74,0.0453139999999999,0.41048596,0.166476,0.378972,126.07478,0.0307463296,0.26
"INFP","NF","I","N","F","P",36,14,0.56156,0.58286,-7.00118,0.72,0.07156,0.31393884,0.174024,0.404442,113.119,0.0047511448,0.28
"INFP","NF","I","N","F","P",35,15,0.5515,0.585972,-8.13768,0.7,0.066554,0.3496802706,0.175686,0.430828,116.07774,0.0995741344,0.3
"INFP","NF","I","N","F","P",43,7,0.5358,0.42386,-9.41196,0.86,0.03945,0.610227,0.15297,0.364722,111.73998,0.058762696,0.14
"INFP","NF","I","N","F","P",36,14,0.4304,0.3613128,-12.84682,0.72,0.049804,0.64933383,0.185716,0.313932,125.6826,0.359903062,0.28
"INFP","NF","I","N","F","P",43,7,0.54466,0.4847,-8.0991,0.86,0.0521899999999999,0.4334982,0.151168,0.353946,122.1629,0.0295731702,0.14
"INFP","NF","I","N","F","P",36,14,0.59766,0.50825,-9.42616,0.72,0.054934,0.33616324,0.15182,0.527356,115.82228,0.0088397581999999,0.28
"INFP","NF","I","N","F","P",10,4,0.574928571428572,0.652357142857143,-5.60028571428571,0.714285714285714,0.0855642857142857,0.329615,0.131307142857143,0.492142857142857,125.705857142857,4.69142857142857e-06,0.285714285714286
"INFP","NF","I","N","F","P",27,18,0.663555555555556,0.269534222222222,-14.5585555555556,0.6,0.07118,0.74926,0.15222,0.278768888888889,104.404822222222,0.814955555555556,0.4
"INFP","NF","I","N","F","P",9,4,0.532846153846154,0.597846153846154,-7.15092307692308,0.692307692307692,0.0574230769230769,0.335634846153846,0.128561538461538,0.3389,129.516538461538,0.0822773923076923,0.307692307692308
"INFP","NF","I","N","F","P",36,14,0.65164,0.67542,-5.60458,0.72,0.080106,0.3109628,0.175326,0.5805,119.82282,0.000148063,0.28
"INFP","NF","I","N","F","P",27,19,0.716282608695652,0.798760869565217,-4.50513043478261,0.58695652173913,0.111869565217391,0.183217391304348,0.173930434782609,0.604739130434782,121.933847826087,0.0015741415217391,0.41304347826087
"INFP","NF","I","N","F","P",36,14,0.568804,0.535552,-10.299,0.72,0.055998,0.30829758,0.169768,0.497408,114.47268,0.130777802,0.28
"INFP","NF","I","N","F","P",32,18,0.61718,0.569452,-7.74126,0.64,0.131708,0.3794742,0.226242,0.45002,115.87416,0.025145438,0.36
"INFP","NF","I","N","F","P",14,3,0.536411764705882,0.474352941176471,-7.55058823529412,0.823529411764706,0.0346529411764705,0.415794117647059,0.1189,0.349117647058823,106.773117647059,0.0019665429411764,0.176470588235294
"INFP","NF","I","N","F","P",17,14,0.654,0.830161290322581,-3.83854838709678,0.548387096774194,0.096658064516129,0.117983225806452,0.192670967741935,0.584612903225807,121.056064516129,0.0021961819354838,0.451612903225806
"INFP","NF","I","N","F","P",32,18,0.54268,0.60942,-7.37444,0.64,0.0572919999999999,0.33161748,0.164788,0.4196,124.50242,0.0659742328,0.36
"INFP","NF","I","N","F","P",27,23,0.62438,0.616,-7.2045,0.54,0.113198,0.20158724,0.197904,0.549,110.99364,0.0200894327999999,0.46
"INFP","NF","I","N","F","P",34,16,0.55218,0.523492,-8.17336,0.68,0.071448,0.39130606,0.210774,0.357908,115.00738,0.1167539128,0.32
"INFP","NF","I","N","F","P",27,23,0.62438,0.616,-7.2045,0.54,0.113198,0.20158724,0.197904,0.549,110.99364,0.0200894327999999,0.46
"INFP","NF","I","N","F","P",41,9,0.48362,0.426518,-10.647,0.82,0.035586,0.5409357506,0.128548,0.36117,120.6366,0.1600824268,0.18
"INFP","NF","I","N","F","P",24,26,0.56226,0.75582,-6.34742,0.48,0.07978,0.127047508,0.218166,0.507042,129.1034,0.1320974912,0.52
